Feature
1,mm10___ENSMUSG00000085595
2,mm10___ENSMUSG00000063727
3,mm10___ENSMUSG00000028333
4,mm10___ENSMUSG00000028851
5,mm10___ENSMUSG00000020869
6,mm10___ENSMUSG00000019987
7,mm10___ENSMUSG00000038489
8,mm10___ENSMUSG00000029390
9,mm10___ENSMUSG00000035027
10,mm10___ENSMUSG00000021377
11,mm10___ENSMUSG00000029359
12,mm10___ENSMUSG00000062270
13,mm10___ENSMUSG00000041571
14,mm10___ENSMUSG00000006058
15,mm10___ENSMUSG00000022961
16,mm10___ENSMUSG00000022255
17,mm10___ENSMUSG00000059208
18,mm10___ENSMUSG00000036560
19,mm10___ENSMUSG00000015599
20,mm10___ENSMUSG00000026083
21,mm10___ENSMUSG00000038803
22,mm10___ENSMUSG00000055302
23,mm10___ENSMUSG00000021131
24,mm10___ENSMUSG00000004455
25,mm10___ENSMUSG00000032878
26,mm10___ENSMUSG00000028729
27,mm10___ENSMUSG00000071708
28,mm10___ENSMUSG00000025151
29,mm10___ENSMUSG00000027637
30,mm10___ENSMUSG00000028945
31,mm10___ENSMUSG00000018326
32,mm10___ENSMUSG00000036112
33,mm10___ENSMUSG00000029092
34,mm10___ENSMUSG00000031370
35,mm10___ENSMUSG00000112728
36,mm10___ENSMUSG00000019777
37,mm10___ENSMUSG00000035048
38,mm10___ENSMUSG00000001506
39,mm10___ENSMUSG00000041881
40,mm10___ENSMUSG00000018893
41,mm10___ENSMUSG00000028416
42,mm10___ENSMUSG00000021877
43,mm10___ENSMUSG00000066026
44,mm10___ENSMUSG00000066176
45,mm10___ENSMUSG00000084803
46,mm10___ENSMUSG00000062743
47,mm10___ENSMUSG00000028832
48,mm10___ENSMUSG00000024091
49,mm10___ENSMUSG00000054822
50,mm10___ENSMUSG00000028798
51,GRCh38_ENSG00000110079
52,mm10___ENSMUSG00000056612
53,mm10___ENSMUSG00000009876
54,mm10___ENSMUSG00000087004
55,mm10___ENSMUSG00000022820
56,mm10___ENSMUSG00000022283
57,mm10___ENSMUSG00000025823
58,mm10___ENSMUSG00000060739
59,mm10___ENSMUSG00000028907
60,mm10___ENSMUSG00000015451
61,mm10___ENSMUSG00000068240
62,mm10___ENSMUSG00000032383
63,mm10___ENSMUSG00000026879
64,mm10___ENSMUSG00000028998
65,mm10___ENSMUSG00000006442
66,mm10___ENSMUSG00000047721
67,mm10___ENSMUSG00000060803
68,mm10___ENSMUSG00000074651
69,mm10___ENSMUSG00000071547
70,mm10___ENSMUSG00000026637
71,mm10___ENSMUSG00000001674
72,mm10___ENSMUSG00000115405
73,mm10___ENSMUSG00000038845
74,mm10___ENSMUSG00000028182
75,mm10___ENSMUSG00000028788
76,mm10___ENSMUSG00000027968
77,mm10___ENSMUSG00000074781
78,mm10___ENSMUSG00000007721
79,mm10___ENSMUSG00000042541
80,mm10___ENSMUSG00000000628
81,mm10___ENSMUSG00000032002
82,mm10___ENSMUSG00000098318
83,mm10___ENSMUSG00000001627
84,mm10___ENSMUSG00000033066
85,mm10___ENSMUSG00000111748
86,mm10___ENSMUSG00000029823
87,mm10___ENSMUSG00000025487
88,mm10___ENSMUSG00000117231
89,mm10___ENSMUSG00000028496
90,mm10___ENSMUSG00000032562
91,mm10___ENSMUSG00000027593
92,mm10___ENSMUSG00000020936
93,mm10___ENSMUSG00000093579
94,mm10___ENSMUSG00000066800
95,mm10___ENSMUSG00000021290
96,mm10___ENSMUSG00000054568
97,mm10___ENSMUSG00000079111
98,mm10___ENSMUSG00000015290
99,mm10___ENSMUSG00000020440
100,mm10___ENSMUSG00000024914
101,mm10___ENSMUSG00000073409
102,mm10___ENSMUSG00000015733
103,mm10___ENSMUSG00000097150
104,mm10___ENSMUSG00000099843
105,mm10___ENSMUSG00000029617
106,mm10___ENSMUSG00000032366
107,mm10___ENSMUSG00000073616
108,mm10___ENSMUSG00000058743
109,mm10___ENSMUSG00000024309
110,mm10___ENSMUSG00000052707
111,mm10___ENSMUSG00000028745
112,mm10___ENSMUSG00000029014
113,mm10___ENSMUSG00000036478
114,mm10___ENSMUSG00000009863
115,mm10___ENSMUSG00000039168
116,mm10___ENSMUSG00000030738
117,mm10___ENSMUSG00000025135
118,mm10___ENSMUSG00000027546
119,mm10___ENSMUSG00000042747
120,mm10___ENSMUSG00000028639
121,mm10___ENSMUSG00000031162
122,mm10___ENSMUSG00000071528
123,mm10___ENSMUSG00000043866
124,mm10___ENSMUSG00000027674
125,mm10___ENSMUSG00000002379
126,mm10___ENSMUSG00000020277
127,mm10___ENSMUSG00000018583
128,mm10___ENSMUSG00000029465
129,mm10___ENSMUSG00000030798
130,mm10___ENSMUSG00000028618
131,mm10___ENSMUSG00000079426
132,mm10___ENSMUSG00000054766
133,mm10___ENSMUSG00000020368
134,mm10___ENSMUSG00000035459
135,mm10___ENSMUSG00000033475
136,mm10___ENSMUSG00000062867
137,mm10___ENSMUSG00000040731
138,mm10___ENSMUSG00000090258
139,mm10___ENSMUSG00000020580
140,mm10___ENSMUSG00000111734
141,mm10___ENSMUSG00000085118
142,mm10___ENSMUSG00000029581
143,mm10___ENSMUSG00000008859
144,mm10___ENSMUSG00000036427
145,mm10___ENSMUSG00000029623
146,mm10___ENSMUSG00000041629
147,mm10___ENSMUSG00000009575
148,mm10___ENSMUSG00000021486
149,mm10___ENSMUSG00000086287
150,mm10___ENSMUSG00000020402
151,mm10___ENSMUSG00000028156
152,mm10___ENSMUSG00000025428
153,mm10___ENSMUSG00000001158
154,mm10___ENSMUSG00000032966
155,mm10___ENSMUSG00000021843
156,mm10___ENSMUSG00000086902
157,mm10___ENSMUSG00000038797
158,mm10___ENSMUSG00000026895
159,mm10___ENSMUSG00000044217
160,mm10___ENSMUSG00000031799
161,mm10___ENSMUSG00000030245
162,mm10___ENSMUSG00000062704
163,mm10___ENSMUSG00000003438
164,mm10___ENSMUSG00000016554
165,mm10___ENSMUSG00000011257
166,mm10___ENSMUSG00000022698
167,mm10___ENSMUSG00000022377
168,mm10___ENSMUSG00000024360
169,mm10___ENSMUSG00000042133
170,mm10___ENSMUSG00000040046
171,mm10___ENSMUSG00000015165
172,mm10___ENSMUSG00000059005
173,mm10___ENSMUSG00000086841
174,mm10___ENSMUSG00000078427
175,mm10___ENSMUSG00000024114
176,mm10___ENSMUSG00000030842
177,mm10___ENSMUSG00000021587
178,mm10___ENSMUSG00000117477
179,mm10___ENSMUSG00000022234
180,mm10___ENSMUSG00000039496
181,mm10___ENSMUSG00000030122
182,mm10___ENSMUSG00000034349
183,mm10___ENSMUSG00000019158
184,mm10___ENSMUSG00000025134
185,mm10___ENSMUSG00000005054
186,mm10___ENSMUSG00000027099
187,mm10___ENSMUSG00000025511
188,mm10___ENSMUSG00000003721
189,mm10___ENSMUSG00000113519
190,mm10___ENSMUSG00000015092
191,mm10___ENSMUSG00000091558
192,mm10___ENSMUSG00000026281
193,mm10___ENSMUSG00000097683
194,mm10___ENSMUSG00000021102
