Feature,Normalized.Dispersion
GRCh38_ENSG00000238009,0.26282911511933066
GRCh38_ENSG00000241860,2.3123613696352407
GRCh38_ENSG00000237491,0.24267004014899737
GRCh38_ENSG00000177757,nan
GRCh38_ENSG00000228794,-0.5350285385274839
GRCh38_ENSG00000225880,-0.6869054472661323
GRCh38_ENSG00000230368,-0.6094413073809369
GRCh38_ENSG00000272438,-0.14740975491186745
GRCh38_ENSG00000187634,0.743877622733688
GRCh38_ENSG00000188976,-0.15768759933861679
GRCh38_ENSG00000187961,-0.29896599046054473
GRCh38_ENSG00000187583,-0.4888165977887703
GRCh38_ENSG00000272512,nan
GRCh38_ENSG00000188290,-0.9456300896556288
GRCh38_ENSG00000187608,1.898921396174436
GRCh38_ENSG00000188157,0.8600974913894762
GRCh38_ENSG00000131591,0.21867440405959182
GRCh38_ENSG00000285812,0.7263621216879217
GRCh38_ENSG00000223823,1.126382063629802
GRCh38_ENSG00000162571,nan
GRCh38_ENSG00000186891,1.7680394686648266
GRCh38_ENSG00000186827,0.9433434048234991
GRCh38_ENSG00000078808,0.8435134631231542
GRCh38_ENSG00000176022,-0.3105831726388222
GRCh38_ENSG00000184163,-1.0846661503480721
GRCh38_ENSG00000260179,nan
GRCh38_ENSG00000160087,-0.9225426404541325
GRCh38_ENSG00000230415,1.1587705580441645
GRCh38_ENSG00000162572,1.7736712633646514
GRCh38_ENSG00000131584,1.4665330261105556
GRCh38_ENSG00000169972,0.271819795662847
GRCh38_ENSG00000127054,-1.7234709272622415
GRCh38_ENSG00000224051,0.31819235160304155
GRCh38_ENSG00000169962,nan
GRCh38_ENSG00000107404,2.260764481219584
GRCh38_ENSG00000175756,0.0008142298788167704
GRCh38_ENSG00000221978,0.5469141233103533
GRCh38_ENSG00000224870,0.9900081856332102
GRCh38_ENSG00000242485,-1.9168068429027585
GRCh38_ENSG00000272455,-0.2956680626520334
GRCh38_ENSG00000235098,-1.4242855199548412
GRCh38_ENSG00000179403,nan
GRCh38_ENSG00000215915,0.7696869026323606
GRCh38_ENSG00000160072,1.2874389053371222
GRCh38_ENSG00000197785,0.5435371113967744
GRCh38_ENSG00000160075,-0.9744083668682675
GRCh38_ENSG00000215014,0.8675170973769553
GRCh38_ENSG00000228594,1.8633829925220233
GRCh38_ENSG00000286989,-0.6711190677989949
GRCh38_ENSG00000272106,-0.39244986922197805
GRCh38_ENSG00000197530,3.4304905212639487
GRCh38_ENSG00000189409,0.022312375427641414
GRCh38_ENSG00000248333,0.1581076514380316
GRCh38_ENSG00000272004,1.264179627715982
GRCh38_ENSG00000189339,0.8858657786763814
GRCh38_ENSG00000008128,-0.15082883003495173
GRCh38_ENSG00000215790,-0.26702116550772864
GRCh38_ENSG00000008130,-0.38969002449982476
GRCh38_ENSG00000078369,-0.5686016432339339
GRCh38_ENSG00000231050,nan
GRCh38_ENSG00000178821,nan
GRCh38_ENSG00000142609,2.384749197373783
GRCh38_ENSG00000187730,nan
GRCh38_ENSG00000067606,1.8608409401755464
GRCh38_ENSG00000271806,-0.9041674980424664
GRCh38_ENSG00000182873,nan
GRCh38_ENSG00000162585,-0.6656954903794496
GRCh38_ENSG00000234396,-0.15624581422838715
GRCh38_ENSG00000157933,-0.3900621314457454
GRCh38_ENSG00000116151,0.8287787076009283
GRCh38_ENSG00000272420,1.0292412404171976
GRCh38_ENSG00000157916,-1.408174430051352
GRCh38_ENSG00000157911,0.14708514261793681
GRCh38_ENSG00000149527,1.5690819193917307
GRCh38_ENSG00000224387,nan
GRCh38_ENSG00000157881,1.4260842281176886
GRCh38_ENSG00000272449,-0.7463063224988371
GRCh38_ENSG00000238164,1.0047536272724806
GRCh38_ENSG00000157873,-0.7047727714855838
GRCh38_ENSG00000228037,0.3403873706567765
GRCh38_ENSG00000157870,1.1845478605873991
GRCh38_ENSG00000142606,-1.0546324139910914
GRCh38_ENSG00000215912,1.771108541942961
GRCh38_ENSG00000177133,nan
GRCh38_ENSG00000142611,1.111358810267031
GRCh38_ENSG00000287828,0.6816017158473643
GRCh38_ENSG00000162591,0.9105060319436868
GRCh38_ENSG00000238260,nan
GRCh38_ENSG00000158109,0.44535094142813203
GRCh38_ENSG00000116213,1.141314419629771
GRCh38_ENSG00000078900,0.022016857068640247
GRCh38_ENSG00000162592,2.727633104957177
GRCh38_ENSG00000235169,-0.24218881976869694
GRCh38_ENSG00000130764,0.7939533104736802
GRCh38_ENSG00000116198,2.402590575972968
GRCh38_ENSG00000169598,-0.5697448943053784
GRCh38_ENSG00000198912,2.695066894447674
GRCh38_ENSG00000236423,-0.0644619517582452
GRCh38_ENSG00000284668,3.630875452926657
GRCh38_ENSG00000284703,nan
GRCh38_ENSG00000196581,-1.4572405016246246
GRCh38_ENSG00000236948,1.6030317172160058
GRCh38_ENSG00000131697,0.27676931026423485
GRCh38_ENSG00000069424,-0.05583913871840832
GRCh38_ENSG00000116254,5.0804670555827345
GRCh38_ENSG00000116251,-1.739770906659016
GRCh38_ENSG00000158286,0.1674835302939732
GRCh38_ENSG00000116237,1.208799122122744
GRCh38_ENSG00000158292,1.32318641724354
GRCh38_ENSG00000097021,-0.7322058924294914
GRCh38_ENSG00000271746,-0.08117028999312347
GRCh38_ENSG00000069812,nan
GRCh38_ENSG00000187017,0.396999977064482
GRCh38_ENSG00000215788,1.6181458774862387
GRCh38_ENSG00000171680,1.2686854752640264
GRCh38_ENSG00000162408,0.8762380696458216
GRCh38_ENSG00000173662,2.279516426021045
GRCh38_ENSG00000204859,-0.15902145391525263
GRCh38_ENSG00000162413,1.919032661319424
GRCh38_ENSG00000116273,-0.2424977790646444
GRCh38_ENSG00000041988,0.48966142438027954
GRCh38_ENSG00000007923,-0.8114471962159513
GRCh38_ENSG00000284744,0.6335731903970754
GRCh38_ENSG00000237436,-0.2713082109578908
GRCh38_ENSG00000171735,0.4177279477490879
GRCh38_ENSG00000237365,nan
GRCh38_ENSG00000049245,-2.3540395001089736
GRCh38_ENSG00000049246,0.48856458403330627
GRCh38_ENSG00000236266,1.364480559114281
GRCh38_ENSG00000049247,0.3911178310476141
GRCh38_ENSG00000049249,0.28840811482145223
GRCh38_ENSG00000116288,-1.4392701194951147
GRCh38_ENSG00000284747,3.5681729292227518
GRCh38_ENSG00000284716,nan
GRCh38_ENSG00000116285,0.4065889918375604
GRCh38_ENSG00000238290,-0.24134879805907386
GRCh38_ENSG00000162426,-0.751246723600024
GRCh38_ENSG00000142599,1.1358206931909443
GRCh38_ENSG00000232912,0.34299888107307547
GRCh38_ENSG00000074800,-1.211768080963781
GRCh38_ENSG00000230679,0.3413056067680856
GRCh38_ENSG00000131686,2.57944141325084
GRCh38_ENSG00000197241,-0.7237534589815855
GRCh38_ENSG00000142583,0.9380719451450652
GRCh38_ENSG00000180758,0.7034859149342182
